FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
0.12,0.84,02/06/2019,02/12/2019,7,0.84,Wed
0.12,0.84,11/19/2019,11/25/2019,7,0.84,Tue
0.8312,0.8312,01/05/2018,01/05/2018,1,0.8312,Fri
0.8312,0.8312,4/29/2019,4/29/2019,1,0.8312,Mon
0.8312,0.8312,12/04/2019,12/04/2019,1,0.8312,Wed
0.82667,0.82667,09/06/2018,09/06/2018,1,0.82667,Thu
0.82667,0.82667,4/15/2019,4/15/2019,1,0.82667,Mon
0.82667,0.82667,01/02/2018,01/02/2018,1,0.82667,Tue
0.41333,0.82666,12/16/2019,12/17/2019,2,0.82666,Mon
0.41333,0.82666,12/23/2019,12/24/2019,2,0.82666,Mon
0.41333,0.82666,2/25/2019,2/26/2019,2,0.82666,Mon
0.41333,0.82666,9/30/2019,10/01/2019,2,0.82666,Mon
0.26667,0.80001,1/16/2018,1/18/2018,3,0.80001,Tue
0.4,0.8,10/21/2019,10/22/2019,2,0.8,Mon
0.8,0.8,6/20/2019,6/20/2019,1,0.8,Thu
0.8,0.8,6/22/2018,6/22/2018,1,0.8,Fri
0.8,0.8,03/04/2019,03/04/2019,1,0.8,Mon
0.8,0.8,01/08/2019,01/08/2019,1,0.8,Tue
0.8,0.8,12/23/2019,12/23/2019,1,0.8,Mon
0.8,0.8,08/09/2019,08/09/2019,1,0.8,Fri
0.8,0.8,01/04/2019,01/04/2019,1,0.8,Fri
0.8,0.8,1/18/2018,1/18/2018,1,0.8,Thu
0.8,0.8,4/16/2018,4/16/2018,1,0.8,Mon
0.4,0.8,7/18/2019,7/19/2019,2,0.8,Thu
0.8,0.8,11/12/2019,11/12/2019,1,0.8,Tue
0.4,0.8,07/03/2018,07/04/2018,2,0.8,Tue
0.4,0.8,2/28/2019,03/01/2019,2,0.8,Thu
0.4,0.8,5/23/2019,5/24/2019,2,0.8,Thu
0.8,0.8,8/23/2018,8/23/2018,1,0.8,Thu
0.4,0.8,02/01/2018,02/02/2018,2,0.8,Thu
0.4,0.8,2/26/2019,2/27/2019,2,0.8,Tue
0.8,0.8,6/19/2018,6/19/2018,1,0.8,Tue
0.8,0.8,1/30/2019,1/30/2019,1,0.8,Wed
0.8,0.8,9/30/2019,9/30/2019,1,0.8,Mon
0.8,0.8,10/11/2018,10/11/2018,1,0.8,Thu
0.4,0.8,1/16/2019,1/17/2019,2,0.8,Wed
0.4,0.8,10/10/2018,10/11/2018,2,0.8,Wed
0.4,0.8,10/24/2019,10/25/2019,2,0.8,Thu
0.8,0.8,9/27/2018,9/27/2018,1,0.8,Thu
0.8,0.8,10/29/2018,10/29/2018,1,0.8,Mon
0.8,0.8,7/23/2019,7/23/2019,1,0.8,Tue
0.8,0.8,10/10/2019,10/10/2019,1,0.8,Thu
0.8,0.8,12/14/2018,12/14/2018,1,0.8,Fri
0.8,0.8,12/10/2018,12/10/2018,1,0.8,Mon
0.8,0.8,5/29/2019,5/29/2019,1,0.8,Wed
0.2,0.8,12/28/2018,12/31/2018,4,0.8,Fri
0.8,0.8,10/19/2019,10/19/2019,1,0.8,Sat
0.8,0.8,07/05/2019,07/05/2019,1,0.8,Fri
0.8,0.8,8/30/2019,8/30/2019,1,0.8,Fri
0.8,0.8,04/10/2019,04/10/2019,1,0.8,Wed
0.8,0.8,04/01/2019,04/01/2019,1,0.8,Mon
0.8,0.8,12/02/2019,12/02/2019,1,0.8,Mon
0.8,0.8,2/13/2019,2/13/2019,1,0.8,Wed
0.8,0.8,04/03/2019,04/03/2019,1,0.8,Wed
0.8,0.8,7/22/2019,7/22/2019,1,0.8,Mon
0.8,0.8,11/05/2018,11/05/2018,1,0.8,Mon
0.4,0.8,01/10/2019,01/11/2019,2,0.8,Thu
0.4,0.8,10/09/2019,10/10/2019,2,0.8,Wed
0.4,0.8,2/24/2019,2/25/2019,2,0.8,Sun
0.4,0.8,12/10/2018,12/11/2018,2,0.8,Mon
0.4,0.8,05/07/2019,05/08/2019,2,0.8,Tue
0.4,0.8,8/27/2018,8/28/2018,2,0.8,Mon
0.4,0.8,6/29/2019,6/30/2019,2,0.8,Sat
0.4,0.8,2/18/2018,2/19/2018,2,0.8,Sun
0.4,0.8,9/13/2018,9/14/2018,2,0.8,Thu
0.4,0.8,11/28/2019,11/29/2019,2,0.8,Thu
0.4,0.8,1/21/2019,1/22/2019,2,0.8,Mon
0.8,0.8,11/23/2018,11/23/2018,1,0.8,Fri
0.8,0.8,8/29/2018,8/29/2018,1,0.8,Wed
0.8,0.8,12/03/2019,12/10/2019,1,6.4,Tue
0.8,0.8,11/08/2018,11/08/2018,1,0.8,Thu
0.8,0.8,10/24/2019,10/24/2019,1,0.8,Thu
0.8,0.8,06/04/2019,06/04/2019,1,0.8,Tue
0.8,0.8,06/03/2019,06/03/2019,1,0.8,Mon
0.8,0.8,10/08/2018,10/08/2018,1,0.8,Mon
0.8,0.8,5/13/2019,5/13/2019,1,0.8,Mon
0.4,0.8,05/04/2018,05/05/2018,2,0.8,Fri
0.8,0.8,06/11/2019,06/11/2019,1,0.8,Tue
0.8,0.8,1/30/2018,1/30/2018,1,0.8,Tue
0.4,0.8,12/30/2019,12/31/4712,2,0.8,Mon
0.8,0.8,3/21/2019,3/21/2019,1,0.8,Thu
0.8,0.8,07/09/2018,07/09/2018,1,0.8,Mon
0.76667,0.76667,4/24/2018,4/24/2018,1,0.76667,Tue
0.76,0.76,1/17/2018,1/17/2018,1,0.76,Wed
0.76,0.76,09/03/2019,09/03/2019,1,0.76,Tue
0.76,0.76,9/13/2018,9/13/2018,1,0.76,Thu
0.76,0.76,7/22/2019,7/22/2019,1,0.76,Mon
0.7568,0.7568,10/09/2018,10/09/2018,1,0.7568,Tue
0.74667,0.74667,1/16/2019,1/16/2019,1,0.74667,Wed
0.74667,0.74667,6/13/2019,6/13/2019,1,0.74667,Thu
0.74667,0.74667,11/21/2019,11/21/2019,1,0.74667,Thu
0.74667,0.74667,3/27/2019,3/27/2019,1,0.74667,Wed
0.74667,0.74667,02/08/2018,02/08/2018,1,0.74667,Thu
0.74667,0.74667,4/29/2019,4/29/2019,1,0.74667,Mon
0.36213,0.72426,12/17/2019,12/18/2019,2,0.72426,Tue
0.72,0.72,2/18/2019,2/18/2019,1,0.72,Mon
0.72,0.72,3/26/2018,3/26/2018,1,0.72,Mon
0.72,0.72,08/07/2018,08/07/2018,1,0.72,Tue
0.72,0.72,3/18/2019,3/18/2019,1,0.72,Mon
0.72,0.72,7/23/2019,7/23/2019,1,0.72,Tue
0.72,0.72,3/21/2019,3/21/2019,1,0.72,Thu
0.72,0.72,11/15/2018,11/15/2018,1,0.72,Thu
0.72,0.72,2/21/2018,2/21/2018,1,0.72,Wed
0.72,0.72,10/03/2018,10/03/2018,1,0.72,Wed
0.72,0.72,02/04/2019,02/04/2019,1,0.72,Mon
0.72,0.72,4/25/2019,4/25/2019,1,0.72,Thu
0.72,0.72,2/16/2019,2/16/2019,1,0.72,Sat
0.72,0.72,8/17/2019,8/17/2019,1,0.72,Sat
0.72,0.72,12/29/2019,12/29/2019,1,0.72,Sun
0.72,0.72,10/07/2019,10/07/2019,1,0.72,Mon
0.72,0.72,12/19/2019,12/19/2019,1,0.72,Thu
0.72,0.72,1/26/2018,1/26/2018,1,0.72,Fri
0.72,0.72,02/08/2018,02/08/2018,1,0.72,Thu
0.72,0.72,9/25/2019,9/25/2019,1,0.72,Wed
0.72,0.72,11/01/2019,11/01/2019,1,0.72,Fri
0.72,0.72,07/01/2018,07/01/2018,1,0.72,Sun
0.72,0.72,06/02/2019,06/02/2019,1,0.72,Sun
0.72,0.72,05/11/2018,05/11/2018,1,0.72,Fri
0.72,0.72,01/04/2018,01/04/2018,1,0.72,Thu
0.72,0.72,2/26/2018,2/26/2018,1,0.72,Mon
0.72,0.72,8/29/2019,8/29/2019,1,0.72,Thu
0.72,0.72,03/12/2019,03/12/2019,1,0.72,Tue
0.72,0.72,12/12/2018,12/12/2018,1,0.72,Wed
0.72,0.72,5/31/2019,5/31/2019,1,0.72,Fri
0.72,0.72,07/10/2019,07/10/2019,1,0.72,Wed
0.71573,0.71573,03/07/2018,03/07/2018,1,0.71573,Wed
0.70667,0.70667,11/22/2019,11/22/2019,1,0.70667,Fri
0.70667,0.70667,4/17/2019,4/17/2019,1,0.70667,Wed
0.70667,0.70667,10/04/2019,10/04/2019,1,0.70667,Fri
0.7,0.7,1/18/2018,1/18/2018,1,0.7,Thu
0.7,0.7,12/13/2019,12/13/2019,1,0.7,Fri
0.7,0.7,9/26/2018,9/26/2018,1,0.7,Wed
0.69333,0.69333,4/24/2018,4/24/2018,1,0.69333,Tue
0.69333,0.69333,4/23/2019,4/23/2019,1,0.69333,Tue
0.69333,0.69333,03/01/2019,03/01/2019,1,0.69333,Fri
0.6928,0.6928,6/24/2019,6/24/2019,1,0.6928,Mon
0.68347,0.68347,12/17/2019,12/17/2019,1,0.68347,Tue
0.68,0.68,12/20/2018,12/20/2018,1,0.68,Thu
0.68,0.68,04/11/2018,04/11/2018,1,0.68,Wed
0.68,0.68,2/25/2019,2/25/2019,1,0.68,Mon
0.66667,0.66667,12/12/2019,12/12/2019,1,0.66667,Thu
0.66667,0.66667,07/08/2019,07/08/2019,1,0.66667,Mon
0.66667,0.66667,12/17/2018,12/17/2018,1,0.66667,Mon
0.66667,0.66667,10/11/2018,10/11/2018,1,0.66667,Thu
0.66667,0.66667,08/01/2019,08/01/2019,1,0.66667,Thu
0.66667,0.66667,04/05/2018,04/05/2018,1,0.66667,Thu
0.65333,0.65333,11/23/2018,11/23/2018,1,0.65333,Fri
0.65,0.65,5/23/2018,5/23/2018,1,0.65,Wed
0.65,0.65,11/21/2018,11/21/2018,1,0.65,Wed
0.64,0.64,05/01/2019,05/01/2019,1,0.64,Wed
0.64,0.64,11/05/2018,11/05/2018,1,0.64,Mon
0.64,0.64,11/09/2018,11/09/2018,1,0.64,Fri
0.64,0.64,7/31/2018,7/31/2018,1,0.64,Tue
0.64,0.64,7/18/2019,7/18/2019,1,0.64,Thu
0.32,0.64,12/21/2019,12/22/2019,2,0.64,Sat
0.64,0.64,10/03/2018,10/03/2018,1,0.64,Wed
0.64,0.64,02/06/2019,02/06/2019,1,0.64,Wed
0.64,0.64,10/19/2018,10/19/2018,1,0.64,Fri
0.64,0.64,03/01/2019,03/01/2019,1,0.64,Fri
0.64,0.64,3/28/2019,3/28/2019,1,0.64,Thu
0.64,0.64,2/13/2019,2/13/2019,1,0.64,Wed
0.32,0.64,09/03/2019,09/04/2019,2,0.64,Tue
0.62,0.62,07/03/2018,07/03/2018,1,0.62,Tue
0.62,0.62,10/22/2019,10/22/2019,1,0.62,Tue
0.62,0.62,11/19/2019,11/19/2019,1,0.62,Tue
0.61333,0.61333,02/07/2018,02/07/2018,1,0.61333,Wed
0.61333,0.61333,5/21/2018,5/21/2018,1,0.61333,Mon
0.61333,0.61333,12/17/2018,12/17/2018,1,0.61333,Mon
0.61333,0.61333,4/28/2019,4/28/2019,1,0.61333,Sun
0.61333,0.61333,06/04/2019,06/04/2019,1,0.61333,Tue
0.61333,0.61333,10/04/2019,10/04/2019,1,0.61333,Fri
0.61333,0.61333,12/26/2019,12/26/2019,1,0.61333,Thu
0.61333,0.61333,4/23/2018,4/23/2018,1,0.61333,Mon
0.61333,0.61333,02/06/2019,02/06/2019,1,0.61333,Wed
0.61333,0.61333,7/17/2019,7/17/2019,1,0.61333,Wed
0.61333,0.61333,5/18/2019,5/18/2019,1,0.61333,Sat
0.61333,0.61333,09/05/2018,09/05/2018,1,0.61333,Wed
0.61333,0.61333,10/30/2019,10/30/2019,1,0.61333,Wed
0.61333,0.61333,10/16/2019,10/16/2019,1,0.61333,Wed
0.61333,0.61333,11/01/2019,11/01/2019,1,0.61333,Fri
0.60773,0.60773,01/10/2018,01/10/2018,1,0.60773,Wed
0.6,0.6,06/05/2018,06/05/2018,1,0.6,Tue
0.6,0.6,8/30/2018,8/30/2018,1,0.6,Thu
0.6,0.6,05/10/2019,05/10/2019,1,0.6,Fri
0.6,0.6,10/22/2019,10/22/2019,1,0.6,Tue
0.6,0.6,11/21/2019,11/21/2019,1,0.6,Thu
0.6,0.6,5/22/2019,5/22/2019,1,0.6,Wed
0.6,0.6,09/12/2018,09/12/2018,1,0.6,Wed
0.6,0.6,12/19/2018,12/19/2018,1,0.6,Wed
0.6,0.6,6/26/2019,6/26/2019,1,0.6,Wed
0.6,0.6,9/26/2019,9/26/2019,1,0.6,Thu
0.6,0.6,1/31/2019,1/31/2019,1,0.6,Thu
0.6,0.6,4/26/2018,4/26/2018,1,0.6,Thu
0.6,0.6,5/20/2019,5/20/2019,1,0.6,Mon
0.6,0.6,01/11/2018,01/11/2018,1,0.6,Thu
0.6,0.6,09/12/2019,09/12/2019,1,0.6,Thu
0.6,0.6,2/16/2019,2/16/2019,1,0.6,Sat
0.6,0.6,3/13/2018,3/13/2018,1,0.6,Tue
0.6,0.6,06/12/2018,06/12/2018,1,0.6,Tue
0.6,0.6,04/05/2018,04/05/2018,1,0.6,Thu
0.6,0.6,7/26/2018,7/26/2018,1,0.6,Thu
0.6,0.6,09/06/2019,09/06/2019,1,0.6,Fri
0.6,0.6,12/09/2019,12/09/2019,1,0.6,Mon
0.6,0.6,11/18/2019,11/18/2019,1,0.6,Mon
0.6,0.6,2/27/2019,2/27/2019,1,0.6,Wed
0.6,0.6,7/22/2019,7/22/2019,1,0.6,Mon
0.6,0.6,10/30/2018,10/30/2018,1,0.6,Tue
0.6,0.6,06/05/2018,06/05/2018,1,0.6,Tue
0.6,0.6,12/20/2019,12/20/2019,1,0.6,Fri
0.6,0.6,3/15/2019,3/15/2019,1,0.6,Fri
0.6,0.6,01/03/2019,01/03/2019,1,0.6,Thu
0.2,0.6,1/23/2018,1/25/2018,3,0.6,Tue
0.6,0.6,4/25/2018,4/25/2018,1,0.6,Wed
0.6,0.6,8/17/2018,8/17/2018,1,0.6,Fri
0.6,0.6,8/28/2018,8/28/2018,1,0.6,Tue
0.6,0.6,12/24/2019,12/24/2019,1,0.6,Tue
0.6,0.6,01/02/2018,01/02/2018,1,0.6,Tue
0.6,0.6,4/13/2018,4/13/2018,1,0.6,Fri
0.6,0.6,8/21/2018,8/21/2018,1,0.6,Tue
0.6,0.6,11/08/2018,11/08/2018,1,0.6,Thu
0.6,0.6,04/04/2018,04/04/2018,1,0.6,Wed
0.12,0.6,1/21/2019,1/25/2019,5,0.6,Mon
0.6,0.6,3/14/2018,3/14/2018,1,0.6,Wed
0.6,0.6,10/15/2018,10/15/2018,1,0.6,Mon
0.2,0.6,1/16/2018,1/18/2018,3,0.6,Tue
0.2,0.6,7/22/2019,7/24/2019,3,0.6,Mon
0.6,0.6,12/30/2019,12/30/2019,1,0.6,Mon
0.6,0.6,09/03/2019,09/03/2019,1,0.6,Tue
0.6,0.6,5/17/2018,5/17/2018,1,0.6,Thu
0.6,0.6,1/31/2019,1/31/2019,1,0.6,Thu
0.6,0.6,03/12/2019,03/12/2019,1,0.6,Tue
0.6,0.6,08/12/2019,08/12/2019,1,0.6,Mon
0.6,0.6,2/21/2018,2/21/2018,1,0.6,Wed
0.6,0.6,7/24/2018,7/24/2018,1,0.6,Tue
0.6,0.6,01/03/2019,01/03/2019,1,0.6,Thu
0.3,0.6,10/15/2019,10/16/2019,2,0.6,Tue
0.3,0.6,10/15/2019,10/16/2019,2,0.6,Tue
0.6,0.6,2/15/2019,2/15/2019,1,0.6,Fri
0.6,0.6,01/03/2018,01/03/2018,1,0.6,Wed
0.6,0.6,02/12/2019,02/12/2019,1,0.6,Tue
0.6,0.6,12/12/2018,12/12/2018,1,0.6,Wed
0.6,0.6,11/11/2019,11/11/2019,1,0.6,Mon
0.6,0.6,10/16/2019,10/16/2019,1,0.6,Wed
0.6,0.6,3/26/2018,3/26/2018,1,0.6,Mon
0.6,0.6,2/18/2019,2/18/2019,1,0.6,Mon
0.6,0.6,01/03/2018,01/03/2018,1,0.6,Wed
0.6,0.6,8/27/2019,8/27/2019,1,0.6,Tue
0.6,0.6,4/30/2019,4/30/2019,1,0.6,Tue
0.6,0.6,7/16/2019,7/16/2019,1,0.6,Tue
0.6,0.6,11/14/2019,11/14/2019,1,0.6,Thu
0.6,0.6,12/11/2018,12/11/2018,1,0.6,Tue
0.6,0.6,10/25/2019,10/25/2019,1,0.6,Fri
0.6,0.6,1/17/2018,1/17/2018,1,0.6,Wed
0.6,0.6,10/28/2019,10/28/2019,1,0.6,Mon
0.6,0.6,1/23/2018,1/23/2018,1,0.6,Tue
0.6,0.6,5/23/2019,5/23/2019,1,0.6,Thu
0.6,0.6,02/02/2018,02/02/2018,1,0.6,Fri
0.6,0.6,8/21/2018,8/21/2018,1,0.6,Tue
0.6,0.6,2/20/2019,2/20/2019,1,0.6,Wed
0.6,0.6,6/27/2018,6/27/2018,1,0.6,Wed
0.6,0.6,2/26/2018,2/26/2018,1,0.6,Mon
0.6,0.6,10/17/2018,10/17/2018,1,0.6,Wed
0.6,0.6,12/12/2019,12/12/2019,1,0.6,Thu
0.6,0.6,7/24/2019,7/24/2019,1,0.6,Wed
0.6,0.6,8/20/2018,8/20/2018,1,0.6,Mon
0.6,0.6,3/20/2019,3/20/2019,1,0.6,Wed
0.6,0.6,4/17/2019,4/17/2019,1,0.6,Wed
0.58667,0.58667,04/08/2019,04/08/2019,1,0.58667,Mon
0.58667,0.58667,09/06/2019,09/06/2019,1,0.58667,Fri
0.58667,0.58667,11/09/2018,11/09/2018,1,0.58667,Fri
0.58667,0.58667,11/14/2019,11/14/2019,1,0.58667,Thu
0.58667,0.58667,2/18/2019,2/18/2019,1,0.58667,Mon
0.57333,0.57333,08/08/2018,08/08/2018,1,0.57333,Wed
0.56,0.56,06/03/2019,06/03/2019,1,0.56,Mon
0.56,0.56,4/25/2018,4/25/2018,1,0.56,Wed
0.56,0.56,6/19/2019,6/19/2019,1,0.56,Wed
0.54667,0.54667,3/13/2018,3/13/2018,1,0.54667,Tue
0.5432,0.5432,12/16/2019,12/16/2019,1,0.5432,Mon
0.26667,0.53334,02/01/2018,02/02/2018,2,0.53334,Thu
0.53333,0.53333,8/23/2018,8/23/2018,1,0.53333,Thu
0.53333,0.53333,9/20/2018,9/20/2018,1,0.53333,Thu
0.53333,0.53333,04/12/2018,04/12/2018,1,0.53333,Thu
0.53333,0.53333,2/25/2019,2/25/2019,1,0.53333,Mon
0.53333,0.53333,06/07/2019,06/07/2019,1,0.53333,Fri
0.53333,0.53333,07/12/2018,07/12/2018,1,0.53333,Thu
0.53333,0.53333,10/24/2019,10/24/2019,1,0.53333,Thu
0.53333,0.53333,11/15/2019,11/15/2019,1,0.53333,Fri
0.53333,0.53333,8/16/2019,8/16/2019,1,0.53333,Fri
0.53333,0.53333,12/19/2019,12/19/2019,1,0.53333,Thu
0.53333,0.53333,11/20/2018,11/20/2018,1,0.53333,Tue
0.53333,0.53333,12/11/2019,12/11/2019,1,0.53333,Wed
0.51947,0.51947,2/13/2019,2/13/2019,1,0.51947,Wed
0.51947,0.51947,07/05/2018,07/05/2018,1,0.51947,Thu
0.51947,0.51947,11/26/2019,11/26/2019,1,0.51947,Tue
0.51947,0.51947,03/07/2019,03/07/2019,1,0.51947,Thu
0.51307,0.51307,01/11/2019,01/11/2019,1,0.51307,Fri
0.50667,0.50667,01/07/2019,01/07/2019,1,0.50667,Mon
0.50667,0.50667,8/15/2018,8/15/2018,1,0.50667,Wed
0.50667,0.50667,12/06/2019,12/06/2019,1,0.50667,Fri
0.50667,0.50667,12/03/2018,12/03/2018,1,0.50667,Mon
0.5,0.5,11/27/2019,11/27/2019,1,0.5,Wed
0.5,0.5,11/29/2019,11/29/2019,1,0.5,Fri
0.5,0.5,06/07/2019,06/07/2019,1,0.5,Fri
0.5,0.5,1/26/2018,1/26/2018,1,0.5,Fri
0.5,0.5,12/31/2019,01/03/2020,1,2,Tue
0.5,0.5,1/23/2019,1/23/2019,1,0.5,Wed
0.5,0.5,11/12/2019,11/12/2019,1,0.5,Tue
0.5,0.5,10/23/2018,10/23/2018,1,0.5,Tue
0.5,0.5,01/08/2018,01/08/2018,1,0.5,Mon
0.5,0.5,2/19/2018,2/19/2018,1,0.5,Mon
0.5,0.5,12/03/2019,12/03/2019,1,0.5,Tue
0.5,0.5,11/05/2018,11/05/2018,1,0.5,Mon
0.5,0.5,12/17/2018,12/17/2018,1,0.5,Mon
0.5,0.5,6/25/2019,6/25/2019,1,0.5,Tue
0.5,0.5,6/27/2018,6/27/2018,1,0.5,Wed
0.5,0.5,12/14/2018,12/14/2018,1,0.5,Fri
0.5,0.5,08/06/2018,08/06/2018,1,0.5,Mon
0.5,0.5,1/23/2018,1/23/2018,1,0.5,Tue
0.5,0.5,12/10/2018,12/10/2018,1,0.5,Mon
0.5,0.5,7/25/2018,7/25/2018,1,0.5,Wed
0.49333,0.49333,5/21/2019,5/21/2019,1,0.49333,Tue
0.49333,0.49333,07/03/2019,07/03/2019,1,0.49333,Wed
0.49333,0.49333,12/18/2018,12/18/2018,1,0.49333,Tue
0.49333,0.49333,5/24/2018,5/24/2018,1,0.49333,Thu
0.49333,0.49333,04/02/2019,04/02/2019,1,0.49333,Tue
0.49333,0.49333,06/05/2018,06/05/2018,1,0.49333,Tue
0.4848,0.4848,11/07/2018,11/07/2018,1,0.4848,Wed
0.48,0.48,02/05/2019,02/05/2019,1,0.48,Tue
0.48,0.48,11/13/2018,11/13/2018,1,0.48,Tue
0.48,0.48,12/31/2018,12/31/2018,1,0.48,Mon
0.48,0.48,11/05/2019,11/05/2019,1,0.48,Tue
0.48,0.48,09/12/2019,09/12/2019,1,0.48,Thu
0.48,0.48,04/04/2019,04/04/2019,1,0.48,Thu
0.48,0.48,11/04/2019,11/04/2019,1,0.48,Mon
0.48,0.48,9/23/2019,9/23/2019,1,0.48,Mon
0.48,0.48,11/11/2018,11/11/2018,1,0.48,Sun
0.48,0.48,8/29/2019,8/29/2019,1,0.48,Thu
0.48,0.48,1/31/2019,1/31/2019,1,0.48,Thu
0.48,0.48,06/09/2019,06/09/2019,1,0.48,Sun
0.48,0.48,7/15/2019,7/15/2019,1,0.48,Mon
0.48,0.48,11/29/2018,11/29/2018,1,0.48,Thu
0.48,0.48,12/04/2019,12/04/2019,1,0.48,Wed
0.24,0.48,8/17/2019,8/18/2019,2,0.48,Sat
0.24,0.48,02/10/2019,02/11/2019,2,0.48,Sun
0.48,0.48,3/21/2018,3/21/2018,1,0.48,Wed
0.48,0.48,10/24/2018,10/24/2018,1,0.48,Wed
0.48,0.48,11/01/2018,11/01/2018,1,0.48,Thu
0.48,0.48,1/15/2019,1/15/2019,1,0.48,Tue
0.48,0.48,02/02/2019,02/02/2019,1,0.48,Sat
0.48,0.48,8/15/2019,8/15/2019,1,0.48,Thu
0.45333,0.45333,04/01/2019,04/01/2019,1,0.45333,Mon
0.45333,0.45333,01/09/2019,01/09/2019,1,0.45333,Wed
0.45333,0.45333,3/21/2019,3/21/2019,1,0.45333,Thu
0.45333,0.45333,04/02/2019,04/02/2019,1,0.45333,Tue
0.44,0.44,1/29/2019,1/29/2019,1,0.44,Tue
0.44,0.44,07/09/2019,07/09/2019,1,0.44,Tue
0.44,0.44,1/15/2019,1/15/2019,1,0.44,Tue
0.42667,0.42667,01/05/2018,01/05/2018,1,0.42667,Fri
0.42667,0.42667,10/02/2018,10/02/2018,1,0.42667,Tue
0.42667,0.42667,2/27/2018,2/27/2018,1,0.42667,Tue
0.42667,0.42667,08/08/2018,08/08/2018,1,0.42667,Wed
0.42667,0.42667,3/21/2019,3/21/2019,1,0.42667,Thu
0.42667,0.42667,01/02/2019,01/02/2019,1,0.42667,Wed
0.42667,0.42667,11/25/2019,11/25/2019,1,0.42667,Mon
0.42667,0.42667,7/15/2018,7/15/2018,1,0.42667,Sun
0.42667,0.42667,6/25/2019,6/25/2019,1,0.42667,Tue
0.42667,0.42667,10/24/2019,10/24/2019,1,0.42667,Thu
0.41333,0.41333,04/08/2019,04/08/2019,1,0.41333,Mon
0.41333,0.41333,09/06/2019,09/06/2019,1,0.41333,Fri
0.4,0.4,05/02/2019,05/02/2019,1,0.4,Thu
0.4,0.4,2/15/2018,2/15/2018,1,0.4,Thu
0.4,0.4,06/07/2018,06/07/2018,1,0.4,Thu
0.4,0.4,4/18/2018,4/18/2018,1,0.4,Wed
0.4,0.4,7/19/2018,7/19/2018,1,0.4,Thu
0.4,0.4,09/04/2018,09/04/2018,1,0.4,Tue
0.1,0.4,12/09/2019,12/12/2019,4,0.4,Mon
0.2,0.4,10/01/2018,10/02/2018,2,0.4,Mon
0.2,0.4,6/18/2018,6/19/2018,2,0.4,Mon
0.2,0.4,5/22/2019,5/23/2019,2,0.4,Wed
0.2,0.4,8/20/2019,8/21/2019,2,0.4,Tue
0.4,0.4,5/23/2019,5/23/2019,1,0.4,Thu
0.4,0.4,11/28/2019,11/28/2019,1,0.4,Thu
0.4,0.4,07/08/2019,07/08/2019,1,0.4,Mon
0.4,0.4,5/17/2018,5/17/2018,1,0.4,Thu
0.4,0.4,1/31/2019,1/31/2019,1,0.4,Thu
0.4,0.4,03/12/2019,03/12/2019,1,0.4,Tue
0.4,0.4,08/12/2019,08/12/2019,1,0.4,Mon
0.4,0.4,04/10/2019,04/10/2019,1,0.4,Wed
0.4,0.4,1/31/2018,1/31/2018,1,0.4,Wed
0.2,0.4,05/08/2018,05/09/2018,2,0.4,Tue
0.4,0.4,10/15/2019,10/15/2019,1,0.4,Tue
0.4,0.4,06/08/2018,06/08/2018,1,0.4,Fri
0.4,0.4,6/18/2018,6/18/2018,1,0.4,Mon
0.4,0.4,6/22/2018,6/22/2018,1,0.4,Fri
0.2,0.4,03/07/2019,03/08/2019,2,0.4,Thu
0.38667,0.38667,5/20/2019,5/20/2019,1,0.38667,Mon
0.36213,0.36213,12/21/2018,12/21/2018,1,0.36213,Fri
0.32,0.32,12/19/2019,12/19/2019,1,0.32,Thu
0.1,0.3,11/18/2019,11/20/2019,3,0.3,Mon
0.1,0.3,12/12/2017,01/03/2018,3,2.3,Tue
0.3,0.3,07/02/2019,07/02/2019,1,0.3,Tue
0.3,0.3,07/02/2019,07/02/2019,1,0.3,Tue
0.29333,0.29333,11/22/2019,11/22/2019,1,0.29333,Fri
0.29333,0.29333,4/17/2019,4/17/2019,1,0.29333,Wed
0.29333,0.29333,10/04/2019,10/04/2019,1,0.29333,Fri
0.24,0.24,11/29/2018,11/29/2018,1,0.24,Thu
0.24,0.24,9/22/2018,9/22/2018,1,0.24,Sat
0.24,0.24,6/28/2019,6/28/2019,1,0.24,Fri
0.24,0.24,02/12/2018,02/12/2018,1,0.24,Mon
0.2,0.2,10/04/2018,10/04/2018,1,0.2,Thu
0.2,0.2,08/01/2019,08/01/2019,1,0.2,Thu
0.1,0.2,7/23/2018,7/24/2018,2,0.2,Mon
0.1,0.2,9/17/2018,9/18/2018,2,0.2,Mon
0.1,0.2,08/05/2019,08/06/2019,2,0.2,Mon
0.2,0.2,01/03/2019,01/03/2019,1,0.2,Thu
0.2,0.2,11/28/2019,11/28/2019,1,0.2,Thu
0.2,0.2,5/23/2019,5/23/2019,1,0.2,Thu
0.06,0.12,4/28/2018,4/29/2018,2,0.12,Sat
