FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
1,1,1/24/2018,1/24/2018,1,1,Wed
1,1,05/01/2018,05/01/2018,1,1,Tue
1,1,8/14/2019,8/14/2019,1,1,Wed
1,1,2/20/2019,2/20/2019,1,1,Wed
1,1,5/29/2019,5/29/2019,1,1,Wed
1,1,11/01/2019,11/01/2019,1,1,Fri
1,1,1/22/2019,1/22/2019,1,1,Tue
1,1,9/26/2018,9/26/2018,1,1,Wed
1,1,05/02/2018,05/02/2018,1,1,Wed
1,1,10/07/2019,10/07/2019,1,1,Mon
1,1,5/17/2018,5/17/2018,1,1,Thu
1,1,10/19/2018,10/19/2018,1,1,Fri
1,1,11/19/2018,11/19/2018,1,1,Mon
1,1,6/18/2019,6/18/2019,1,1,Tue
1,1,07/12/2018,07/12/2018,1,1,Thu
1,1,08/10/2018,08/10/2018,1,1,Fri
1,1,04/08/2019,04/08/2019,1,1,Mon
1,1,2/22/2018,2/22/2018,1,1,Thu
1,1,4/15/2019,4/15/2019,1,1,Mon
1,1,7/23/2018,7/23/2018,1,1,Mon
1,1,3/29/2019,3/29/2019,1,1,Fri
1,1,06/04/2018,06/04/2018,1,1,Mon
1,1,04/09/2019,04/09/2019,1,1,Tue
1,1,2/13/2019,2/13/2019,1,1,Wed
1,1,6/18/2019,6/18/2019,1,1,Tue
1,1,4/23/2019,4/23/2019,1,1,Tue
1,1,5/31/2019,5/31/2019,1,1,Fri
0.5,1,1/24/2018,1/25/2018,2,1,Wed
0.5,1,08/01/2018,08/02/2018,2,1,Wed
0.5,1,11/20/2019,11/21/2019,2,1,Wed
1,1,10/26/2018,10/26/2018,1,1,Fri
1,1,3/28/2019,3/28/2019,1,1,Thu
0.5,1,05/07/2019,05/08/2019,2,1,Tue
0.5,1,12/10/2019,12/11/2019,2,1,Tue
1,1,8/28/2019,8/28/2019,1,1,Wed
1,1,5/28/2019,5/28/2019,1,1,Tue
1,1,2/20/2019,2/20/2019,1,1,Wed
1,1,11/22/2018,11/22/2018,1,1,Thu
1,1,1/30/2019,1/30/2019,1,1,Wed
1,1,12/09/2019,12/09/2019,1,1,Mon
1,1,1/21/2019,1/21/2019,1,1,Mon
1,1,12/07/2019,12/07/2019,1,1,Sat
1,1,12/17/2018,12/17/2018,1,1,Mon
1,1,11/08/2019,11/08/2019,1,1,Fri
0.5,1,03/12/2018,3/13/2018,2,1,Mon
1,1,12/11/2019,12/11/2019,1,1,Wed
1,1,02/02/2018,02/02/2018,1,1,Fri
1,1,11/12/2018,11/12/2018,1,1,Mon
0.5,1,05/08/2018,05/09/2018,2,1,Tue
1,1,1/31/2018,1/31/2018,1,1,Wed
1,1,11/09/2018,11/09/2018,1,1,Fri
1,1,1/14/2019,1/14/2019,1,1,Mon
1,1,4/26/2019,4/26/2019,1,1,Fri
1,1,6/28/2019,6/28/2019,1,1,Fri
1,1,02/09/2018,02/09/2018,1,1,Fri
1,1,11/27/2019,11/27/2019,1,1,Wed
1,1,12/21/2018,12/21/2018,1,1,Fri
1,1,02/07/2019,02/07/2019,1,1,Thu
1,1,7/22/2019,7/22/2019,1,1,Mon
1,1,3/18/2019,3/18/2019,1,1,Mon
1,1,3/22/2019,3/22/2019,1,1,Fri
1,1,04/05/2019,04/05/2019,1,1,Fri
1,1,5/17/2019,5/17/2019,1,1,Fri
1,1,4/25/2018,4/25/2018,1,1,Wed
1,1,05/06/2019,05/06/2019,1,1,Mon
1,1,7/19/2019,7/19/2019,1,1,Fri
1,1,6/22/2019,6/22/2019,1,1,Sat
1,1,5/22/2019,5/22/2019,1,1,Wed
1,1,12/30/2019,12/30/2019,1,1,Mon
1,1,11/04/2019,11/04/2019,1,1,Mon
1,1,10/30/2018,10/30/2018,1,1,Tue
1,1,03/09/2018,03/09/2018,1,1,Fri
1,1,11/21/2017,01/01/2018,1,42,Tue
1,1,01/10/2018,01/10/2018,1,1,Wed
1,1,1/14/2019,1/14/2019,1,1,Mon
1,1,6/22/2018,6/22/2018,1,1,Fri
1,1,11/05/2018,11/05/2018,1,1,Mon
1,1,12/20/2019,12/20/2019,1,1,Fri
1,1,7/24/2018,7/24/2018,1,1,Tue
1,1,10/14/2019,10/14/2019,1,1,Mon
1,1,11/18/2019,11/18/2019,1,1,Mon
1,1,12/13/2019,12/13/2019,1,1,Fri
1,1,10/25/2019,10/25/2019,1,1,Fri
1,1,8/20/2018,8/20/2018,1,1,Mon
1,1,9/30/2019,9/30/2019,1,1,Mon
1,1,01/11/2018,01/11/2018,1,1,Thu
1,1,10/18/2018,10/18/2018,1,1,Thu
1,1,11/13/2019,11/13/2019,1,1,Wed
1,1,10/29/2018,10/29/2018,1,1,Mon
1,1,09/05/2019,09/05/2019,1,1,Thu
1,1,12/19/2019,12/19/2019,1,1,Thu
1,1,04/10/2019,04/10/2019,1,1,Wed
1,1,6/20/2019,6/20/2019,1,1,Thu
1,1,06/12/2018,06/12/2018,1,1,Tue
1,1,02/06/2018,02/06/2018,1,1,Tue
1,1,1/15/2018,1/15/2018,1,1,Mon
1,1,2/19/2018,2/19/2018,1,1,Mon
1,1,4/23/2018,4/23/2018,1,1,Mon
1,1,8/13/2018,8/13/2018,1,1,Mon
1,1,12/24/2018,12/24/2018,1,1,Mon
1,1,06/10/2019,06/10/2019,1,1,Mon
1,1,1/25/2019,1/25/2019,1,1,Fri
1,1,04/12/2019,04/12/2019,1,1,Fri
1,1,08/07/2019,08/07/2019,1,1,Wed
1,1,04/01/2019,04/01/2019,1,1,Mon
1,1,7/27/2018,7/27/2018,1,1,Fri
1,1,5/15/2018,5/15/2018,1,1,Tue
1,1,04/08/2019,04/08/2019,1,1,Mon
1,1,11/16/2018,11/16/2018,1,1,Fri
1,1,5/25/2018,5/25/2018,1,1,Fri
1,1,10/17/2018,10/17/2018,1,1,Wed
1,1,10/29/2018,10/29/2018,1,1,Mon
1,1,5/31/2019,5/31/2019,1,1,Fri
1,1,09/09/2019,09/09/2019,1,1,Mon
1,1,11/05/2018,11/05/2018,1,1,Mon
1,1,2/18/2019,2/18/2019,1,1,Mon
1,1,3/21/2019,3/21/2019,1,1,Thu
1,1,7/20/2019,7/20/2019,1,1,Sat
1,1,10/11/2018,10/11/2018,1,1,Thu
1,1,12/18/2018,12/18/2018,1,1,Tue
1,1,12/06/2018,12/06/2018,1,1,Thu
1,1,11/16/2018,11/16/2018,1,1,Fri
1,1,10/30/2018,10/30/2018,1,1,Tue
1,1,03/05/2018,03/05/2018,1,1,Mon
1,1,03/11/2019,03/11/2019,1,1,Mon
1,1,9/21/2018,9/21/2018,1,1,Fri
1,1,4/29/2019,4/29/2019,1,1,Mon
1,1,07/09/2018,07/09/2018,1,1,Mon
1,1,06/11/2019,06/11/2019,1,1,Tue
1,1,05/01/2018,05/01/2018,1,1,Tue
1,1,10/31/2019,10/31/2019,1,1,Thu
1,1,10/07/2019,10/07/2019,1,1,Mon
1,1,10/11/2019,10/11/2019,1,1,Fri
1,1,09/05/2019,09/05/2019,1,1,Thu
1,1,1/18/2019,1/18/2019,1,1,Fri
1,1,8/17/2018,8/17/2018,1,1,Fri
1,1,12/14/2018,12/14/2018,1,1,Fri
1,1,9/19/2019,9/19/2019,1,1,Thu
1,1,6/14/2018,6/14/2018,1,1,Thu
1,1,08/08/2019,08/08/2019,1,1,Thu
1,1,11/11/2019,11/11/2019,1,1,Mon
1,1,09/10/2018,09/10/2018,1,1,Mon
1,1,10/15/2018,10/15/2018,1,1,Mon
1,1,12/17/2019,12/17/2019,1,1,Tue
1,1,2/23/2018,2/23/2018,1,1,Fri
1,1,9/25/2018,9/25/2018,1,1,Tue
1,1,01/02/2019,01/02/2019,1,1,Wed
1,1,10/21/2019,10/21/2019,1,1,Mon
1,1,9/24/2019,9/24/2019,1,1,Tue
1,1,12/17/2018,12/17/2018,1,1,Mon
1,1,3/28/2019,3/28/2019,1,1,Thu
1,1,3/15/2018,3/15/2018,1,1,Thu
1,1,11/06/2018,11/06/2018,1,1,Tue
1,1,6/21/2018,6/21/2018,1,1,Thu
1,1,1/31/2019,1/31/2019,1,1,Thu
1,1,12/27/2019,12/27/2019,1,1,Fri
1,1,02/07/2019,02/07/2019,1,1,Thu
1,1,3/17/2019,3/17/2019,1,1,Sun
1,1,07/01/2018,07/01/2018,1,1,Sun
1,1,7/22/2019,7/22/2019,1,1,Mon
1,1,10/04/2019,10/04/2019,1,1,Fri
1,1,10/04/2018,10/04/2018,1,1,Thu
1,1,12/11/2018,12/11/2018,1,1,Tue
1,1,5/21/2018,5/21/2018,1,1,Mon
1,1,3/15/2019,3/15/2019,1,1,Fri
1,1,8/27/2019,8/27/2019,1,1,Tue
1,1,9/24/2019,9/24/2019,1,1,Tue
0.5,1,2/28/2019,03/01/2019,2,1,Thu
1,1,3/29/2019,3/29/2019,1,1,Fri
1,1,2/23/2018,2/23/2018,1,1,Fri
1,1,04/08/2019,04/08/2019,1,1,Mon
1,1,06/07/2018,06/07/2018,1,1,Thu
1,1,04/01/2019,04/01/2019,1,1,Mon
1,1,01/04/2018,01/04/2018,1,1,Thu
1,1,03/04/2019,03/04/2019,1,1,Mon
1,1,12/27/2019,12/27/2019,1,1,Fri
1,1,8/20/2018,8/20/2018,1,1,Mon
1,1,12/10/2018,12/10/2018,1,1,Mon
1,1,11/29/2019,11/29/2019,1,1,Fri
1,1,12/06/2018,12/06/2018,1,1,Thu
1,1,03/07/2018,03/07/2018,1,1,Wed
1,1,10/25/2018,10/25/2018,1,1,Thu
1,1,1/23/2019,1/23/2019,1,1,Wed
1,1,05/08/2019,05/08/2019,1,1,Wed
1,1,07/11/2019,07/11/2019,1,1,Thu
1,1,06/07/2018,06/07/2018,1,1,Thu
1,1,1/21/2019,1/21/2019,1,1,Mon
1,1,10/16/2019,10/16/2019,1,1,Wed
1,1,12/23/2019,12/23/2019,1,1,Mon
1,1,11/08/2018,11/08/2018,1,1,Thu
1,1,12/02/2019,12/02/2019,1,1,Mon
1,1,11/29/2019,11/29/2019,1,1,Fri
1,1,4/29/2019,4/29/2019,1,1,Mon
1,1,9/18/2019,9/18/2019,1,1,Wed
1,1,8/19/2019,8/19/2019,1,1,Mon
1,1,08/10/2018,08/10/2018,1,1,Fri
1,1,09/04/2019,09/04/2019,1,1,Wed
1,1,10/15/2018,10/15/2018,1,1,Mon
1,1,02/08/2018,02/08/2018,1,1,Thu
0.5,1,05/08/2019,05/09/2019,2,1,Wed
0.5,1,05/08/2018,05/09/2018,2,1,Tue
1,1,11/01/2019,11/01/2019,1,1,Fri
1,1,8/17/2018,8/17/2018,1,1,Fri
1,1,8/13/2018,8/13/2018,1,1,Mon
1,1,12/24/2018,12/24/2018,1,1,Mon
1,1,5/28/2019,5/28/2019,1,1,Tue
1,1,10/13/2019,10/13/2019,1,1,Sun
0.49333,0.98666,02/12/2018,2/13/2018,2,0.98666,Mon
0.49333,0.98666,11/27/2019,11/28/2019,2,0.98666,Wed
0.48,0.96,11/14/2018,11/15/2018,2,0.96,Wed
0.96,0.96,9/27/2018,9/27/2018,1,0.96,Thu
0.96,0.96,09/11/2019,09/11/2019,1,0.96,Wed
0.48,0.96,7/31/2018,08/01/2018,2,0.96,Tue
0.48,0.96,9/23/2018,9/24/2018,2,0.96,Sun
0.96,0.96,2/21/2019,2/21/2019,1,0.96,Thu
0.48,0.96,9/26/2019,9/27/2019,2,0.96,Thu
0.48,0.96,9/25/2018,9/26/2018,2,0.96,Tue
0.48,0.96,12/11/2019,12/12/2019,2,0.96,Wed
0.48,0.96,12/05/2019,12/06/2019,2,0.96,Thu
0.48,0.96,04/04/2019,04/05/2019,2,0.96,Thu
0.96,0.96,11/27/2018,11/27/2018,1,0.96,Tue
0.96,0.96,10/18/2019,10/18/2019,1,0.96,Fri
0.48,0.96,04/03/2018,04/04/2018,2,0.96,Tue
0.48,0.96,11/13/2018,11/14/2018,2,0.96,Tue
0.48,0.96,8/23/2018,8/24/2018,2,0.96,Thu
0.48,0.96,10/31/2019,11/01/2019,2,0.96,Thu
0.48,0.96,3/27/2019,3/28/2019,2,0.96,Wed
0.96,0.96,6/18/2019,6/18/2019,1,0.96,Tue
0.96,0.96,03/08/2018,03/08/2018,1,0.96,Thu
