Date,Month,Day,Weekday,Absences,precip_intensity_max,precip_intensity_avg,precip_type,wind_speed_max,wind_speed_avg,gust_max,gust_avg,temp_min,temp_max,temp_avg,temp_day,temp_night,humidity
2019_01_06,1.0,6.0,Sunday,25.0,0.0322,0.0066,1.0,6.75,6.74,10.99,9.05,15.52,18.5,16.91,18.5,15.1,0.76
2019_01_07,1.0,7.0,Monday,31.0,2.4332,0.3545,1.0,7.61,7.56,16.27,12.34,15.04,19.17,16.95,19.17,14.68,0.79
2019_01_08,1.0,8.0,Tuesday,34.0,0.0504,0.0091,1.0,7.99,7.91,15.21,10.23,12.59,17.84,15.14,15.32,11.36,0.63
2019_01_09,1.0,9.0,Wednesday,36.0,0.2946,0.03,1.0,6.54,6.44,13.97,9.44,11.36,16.75,14.34,16.75,14.61,0.77
2019_01_10,1.0,10.0,Thursday,36.0,0.3953,0.1033,1.0,7.5,7.47,12.77,9.62,13.21,16.61,15.22,15.81,14.76,0.77
2019_01_11,1.0,11.0,Friday,39.0,0.2575,0.057,1.0,6.01,6.0,10.65,7.81,13.27,16.29,14.85,15.41,10.54,0.66
2019_01_12,1.0,12.0,Saturday,30.0,0.2915,0.0699,1.0,3.5,3.46,8.37,5.01,10.54,15.83,13.5,15.83,11.08,0.72
2019_01_13,1.0,13.0,Sunday,29.0,0.0107,0.0038,1.0,2.48,2.52,5.84,3.58,11.08,18.12,14.62,16.75,15.14,0.76
2019_01_14,1.0,14.0,Monday,29.0,0.1712,0.0284,1.0,8.72,8.62,17.89,12.95,15.14,18.64,16.99,18.64,17.25,0.83
2019_01_15,1.0,15.0,Tuesday,29.0,0.0747,0.0111,1.0,7.55,7.62,15.38,11.19,17.14,19.53,17.96,19.53,17.5,0.83
2019_01_16,1.0,16.0,Wednesday,29.0,0.0352,0.0065,1.0,6.46,6.5,14.28,8.32,14.73,18.55,17.4,18.42,13.54,0.79
2019_01_17,1.0,17.0,Thursday,29.0,0.0096,0.0021,1.0,3.62,3.61,7.81,5.13,13.54,18.18,15.85,18.18,11.69,0.78
2019_01_18,1.0,18.0,Friday,29.0,0.0083,0.0027,1.0,3.63,3.56,7.85,5.53,11.69,18.98,15.87,18.98,15.57,0.82
2019_01_19,1.0,19.0,Saturday,29.0,0.018000000000000002,0.0033,1.0,3.33,3.32,6.95,4.9,15.2,18.19,16.43,18.19,14.71,0.89
2019_01_20,1.0,20.0,Sunday,29.0,0.0073,0.001,1.0,5.42,5.4,9.48,6.78,14.38,16.66,15.5,16.66,13.61,0.71
2019_01_21,1.0,21.0,Monday,29.0,0.0083,0.0006,1.0,5.61,5.61,9.88,6.69,13.45,16.46,15.24,16.03,14.54,0.61
2019_01_22,1.0,22.0,Tuesday,29.0,0.0106,0.0016,1.0,3.82,3.82,6.16,4.91,14.43,16.52,15.7,16.51,12.81,0.7
2019_01_23,1.0,23.0,Wednesday,29.0,0.0096,0.0024,1.0,5.28,5.28,13.74,7.84,12.81,19.45,15.44,19.45,12.28,0.64
2019_01_24,1.0,24.0,Thursday,29.0,0.0041,0.0066,1.0,6.48,6.49,13.52,9.72,12.28,22.7,16.62,22.7,15.86,0.62
2019_01_25,1.0,25.0,Friday,29.0,0.4654,0.0621,1.0,5.47,5.45,14.49,10.58,15.86,22.42,17.98,22.42,15.97,0.77
2019_01_26,1.0,26.0,Saturday,29.0,0.5788,0.0801,1.0,5.89,5.86,11.19,9.87,15.48,18.15,16.73,18.15,16.13,0.85
2019_01_27,1.0,27.0,Sunday,29.0,3.3771,0.7795,1.0,8.11,8.05,16.21,13.51,14.53,17.46,16.46,17.35,15.43,0.88
2019_01_28,1.0,28.0,Monday,29.0,1.4297,0.6588,1.0,8.52,8.46,16.14,14.66,15.29,17.3,16.18,17.3,15.77,0.89
2019_01_29,1.0,29.0,Tuesday,29.0,1.0732,0.2568,1.0,8.68,8.6,18.62,15.0,15.77,18.92,16.95,18.92,15.18,0.89
2019_01_30,1.0,30.0,Wednesday,29.0,0.8290000000000001,0.2549,1.0,10.14,10.06,20.74,16.1,15.04,17.23,15.94,17.23,14.0,0.84
2019_01_31,1.0,31.0,Thursday,29.0,0.2006,0.0567,1.0,9.52,9.45,18.34,14.79,14.0,17.27,15.75,17.27,15.06,0.81
2019_02_01,2.0,1.0,Friday,29.0,2.3721,0.5371,1.0,11.51,11.48,22.69,18.58,15.06,17.68,16.17,17.68,15.2,0.88
2019_02_02,2.0,2.0,Saturday,29.0,1.5225,0.155,1.0,8.04,8.13,18.25,11.32,14.4,15.94,15.42,15.79,15.19,0.81
