,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
2032,0.56,1.12,30/01/2019,31/01/2019,2,1.12,Wed
2033,0.56,1.12,16/03/2018,17/03/2018,2,1.12,Fri
2034,0.37333,1.11999,02/01/2019,04/01/2019,3,1.11999,Wed
2035,0.26667,1.06668,21/08/2018,24/08/2018,4,1.06668,Tue
2036,0.53333,1.06666,21/03/2019,22/03/2019,2,1.06666,Thu
2037,0.53333,1.06666,06/11/2019,07/11/2019,2,1.06666,Wed
2038,0.53333,1.06666,27/06/2018,28/06/2018,2,1.06666,Wed
2039,0.53333,1.06666,25/01/2018,26/01/2018,2,1.06666,Thu
2040,0.53333,1.06666,12/01/2018,13/01/2018,2,1.06666,Fri
2041,0.53333,1.06666,09/12/2019,10/12/2019,2,1.06666,Mon
2042,0.53333,1.06666,04/03/2019,05/03/2019,2,1.06666,Mon
2043,0.53333,1.06666,23/09/2019,24/09/2019,2,1.06666,Mon
2044,0.53333,1.06666,17/10/2019,18/10/2019,2,1.06666,Thu
2045,0.51947,1.03894,23/01/2019,24/01/2019,2,1.03894,Wed
2046,0.51947,1.03894,17/07/2018,18/07/2018,2,1.03894,Tue
2047,0.51947,1.03894,13/12/2018,14/12/2018,2,1.03894,Thu
2048,0.51947,1.03894,06/12/2018,07/12/2018,2,1.03894,Thu
2049,0.51307,1.02614,08/02/2018,09/02/2018,2,1.02614,Thu
2050,0.508,1.016,09/12/2019,10/12/2019,2,1.016,Mon
2051,0.50667,1.01334,20/09/2019,21/09/2019,2,1.01334,Fri
2052,1,1,25/11/2019,25/11/2019,1,1,Mon
2053,1,1,28/08/2018,28/08/2018,1,1,Tue
2054,1,1,03/06/2019,03/06/2019,1,1,Mon
2055,1,1,12/08/2019,12/08/2019,1,1,Mon
2056,1,1,18/09/2019,18/09/2019,1,1,Wed
2057,1,1,10/10/2019,10/10/2019,1,1,Thu
2058,1,1,29/08/2018,29/08/2018,1,1,Wed
2059,1,1,19/12/2019,19/12/2019,1,1,Thu
2060,1,1,28/05/2019,28/05/2019,1,1,Tue
2061,1,1,19/12/2019,19/12/2019,1,1,Thu
2062,1,1,08/10/2019,08/10/2019,1,1,Tue
2063,1,1,23/03/2019,23/03/2019,1,1,Sat
2064,1,1,07/08/2018,07/08/2018,1,1,Tue
2065,1,1,18/06/2019,18/06/2019,1,1,Tue
2066,1,1,31/01/2018,31/01/2018,1,1,Wed
2067,1,1,20/08/2018,20/08/2018,1,1,Mon
2068,1,1,08/03/2018,08/03/2018,1,1,Thu
2069,1,1,12/06/2018,12/06/2018,1,1,Tue
2070,1,1,26/04/2019,26/04/2019,1,1,Fri
2071,1,1,01/08/2019,01/08/2019,1,1,Thu
2072,1,1,30/09/2019,30/09/2019,1,1,Mon
2073,1,1,02/10/2019,02/10/2019,1,1,Wed
2074,1,1,21/11/2019,21/11/2019,1,1,Thu
2075,1,1,01/08/2018,01/08/2018,1,1,Wed
2076,1,1,24/10/2018,24/10/2018,1,1,Wed
2077,1,1,10/07/2019,10/07/2019,1,1,Wed
2078,1,1,05/09/2019,05/09/2019,1,1,Thu
2079,1,1,04/06/2019,04/06/2019,1,1,Tue
2080,1,1,28/08/2018,28/08/2018,1,1,Tue
2081,1,1,17/10/2019,17/10/2019,1,1,Thu
2082,1,1,23/10/2018,23/10/2018,1,1,Tue
2083,1,1,09/11/2018,09/11/2018,1,1,Fri
2084,1,1,13/12/2019,13/12/2019,1,1,Fri
2085,1,1,15/10/2019,15/10/2019,1,1,Tue
2086,1,1,21/06/2019,21/06/2019,1,1,Fri
2087,1,1,30/11/2019,30/11/2019,1,1,Sat
2088,1,1,21/06/2019,21/06/2019,1,1,Fri
2089,1,1,08/11/2019,08/11/2019,1,1,Fri
2090,1,1,08/01/2019,08/01/2019,1,1,Tue
2091,1,1,31/08/2018,31/08/2018,1,1,Fri
2092,1,1,21/03/2019,21/03/2019,1,1,Thu
2093,1,1,09/01/2019,09/01/2019,1,1,Wed
2094,1,1,07/07/2019,07/07/2019,1,1,Sun
2095,1,1,02/02/2018,02/02/2018,1,1,Fri
2096,1,1,24/01/2018,24/01/2018,1,1,Wed
2097,1,1,01/05/2018,01/05/2018,1,1,Tue
2098,1,1,14/08/2019,14/08/2019,1,1,Wed
2099,1,1,20/02/2019,20/02/2019,1,1,Wed
2100,1,1,29/05/2019,29/05/2019,1,1,Wed
2101,1,1,01/11/2019,01/11/2019,1,1,Fri
2102,1,1,22/01/2019,22/01/2019,1,1,Tue
2103,1,1,26/09/2018,26/09/2018,1,1,Wed
2104,1,1,02/05/2018,02/05/2018,1,1,Wed
2105,1,1,07/10/2019,07/10/2019,1,1,Mon
2106,1,1,17/05/2018,17/05/2018,1,1,Thu
2107,1,1,19/10/2018,19/10/2018,1,1,Fri
2108,1,1,19/11/2018,19/11/2018,1,1,Mon
2109,1,1,18/06/2019,18/06/2019,1,1,Tue
2110,1,1,12/07/2018,12/07/2018,1,1,Thu
2111,1,1,10/08/2018,10/08/2018,1,1,Fri
2112,1,1,08/04/2019,08/04/2019,1,1,Mon
2113,1,1,22/02/2018,22/02/2018,1,1,Thu
2114,1,1,15/04/2019,15/04/2019,1,1,Mon
2115,1,1,23/07/2018,23/07/2018,1,1,Mon
2116,1,1,29/03/2019,29/03/2019,1,1,Fri
2117,1,1,04/06/2018,04/06/2018,1,1,Mon
2118,1,1,09/04/2019,09/04/2019,1,1,Tue
2119,1,1,13/02/2019,13/02/2019,1,1,Wed
2120,1,1,18/06/2019,18/06/2019,1,1,Tue
2121,1,1,23/04/2019,23/04/2019,1,1,Tue
2122,1,1,31/05/2019,31/05/2019,1,1,Fri
2123,0.5,1,24/01/2018,25/01/2018,2,1,Wed
2124,0.5,1,01/08/2018,02/08/2018,2,1,Wed
2125,0.5,1,20/11/2019,21/11/2019,2,1,Wed
2126,1,1,26/10/2018,26/10/2018,1,1,Fri
2127,1,1,28/03/2019,28/03/2019,1,1,Thu
2128,0.5,1,07/05/2019,08/05/2019,2,1,Tue
2129,0.5,1,10/12/2019,11/12/2019,2,1,Tue
2130,1,1,28/08/2019,28/08/2019,1,1,Wed
2131,1,1,28/05/2019,28/05/2019,1,1,Tue
2132,1,1,20/02/2019,20/02/2019,1,1,Wed
2133,1,1,22/11/2018,22/11/2018,1,1,Thu
2134,1,1,30/01/2019,30/01/2019,1,1,Wed
2135,1,1,09/12/2019,09/12/2019,1,1,Mon
2136,1,1,21/01/2019,21/01/2019,1,1,Mon
2137,1,1,07/12/2019,07/12/2019,1,1,Sat
2138,1,1,17/12/2018,17/12/2018,1,1,Mon
2139,1,1,08/11/2019,08/11/2019,1,1,Fri
2140,0.5,1,12/03/2018,13/03/2018,2,1,Mon
2141,1,1,11/12/2019,11/12/2019,1,1,Wed
2142,1,1,02/02/2018,02/02/2018,1,1,Fri
2143,1,1,12/11/2018,12/11/2018,1,1,Mon
2144,0.5,1,08/05/2018,09/05/2018,2,1,Tue
2145,1,1,31/01/2018,31/01/2018,1,1,Wed
2146,1,1,09/11/2018,09/11/2018,1,1,Fri
2147,1,1,14/01/2019,14/01/2019,1,1,Mon
2148,1,1,26/04/2019,26/04/2019,1,1,Fri
2149,1,1,28/06/2019,28/06/2019,1,1,Fri
2150,1,1,09/02/2018,09/02/2018,1,1,Fri
2151,1,1,27/11/2019,27/11/2019,1,1,Wed
2152,1,1,21/12/2018,21/12/2018,1,1,Fri
2153,1,1,07/02/2019,07/02/2019,1,1,Thu
2154,1,1,22/07/2019,22/07/2019,1,1,Mon
2155,1,1,18/03/2019,18/03/2019,1,1,Mon
2156,1,1,22/03/2019,22/03/2019,1,1,Fri
2157,1,1,05/04/2019,05/04/2019,1,1,Fri
2158,1,1,17/05/2019,17/05/2019,1,1,Fri
2159,1,1,25/04/2018,25/04/2018,1,1,Wed
2160,1,1,06/05/2019,06/05/2019,1,1,Mon
2161,1,1,19/07/2019,19/07/2019,1,1,Fri
2162,1,1,22/06/2019,22/06/2019,1,1,Sat
2163,1,1,22/05/2019,22/05/2019,1,1,Wed
2164,1,1,30/12/2019,30/12/2019,1,1,Mon
2165,1,1,04/11/2019,04/11/2019,1,1,Mon
2166,1,1,30/10/2018,30/10/2018,1,1,Tue
2167,1,1,09/03/2018,09/03/2018,1,1,Fri
2168,1,1,21/11/2017,01/01/2018,1,42,Tue
2169,1,1,10/01/2018,10/01/2018,1,1,Wed
2170,1,1,14/01/2019,14/01/2019,1,1,Mon
2171,1,1,22/06/2018,22/06/2018,1,1,Fri
2172,1,1,05/11/2018,05/11/2018,1,1,Mon
2173,1,1,20/12/2019,20/12/2019,1,1,Fri
2174,1,1,24/07/2018,24/07/2018,1,1,Tue
2175,1,1,14/10/2019,14/10/2019,1,1,Mon
2176,1,1,18/11/2019,18/11/2019,1,1,Mon
2177,1,1,13/12/2019,13/12/2019,1,1,Fri
2178,1,1,25/10/2019,25/10/2019,1,1,Fri
2179,1,1,20/08/2018,20/08/2018,1,1,Mon
2180,1,1,30/09/2019,30/09/2019,1,1,Mon
2181,1,1,11/01/2018,11/01/2018,1,1,Thu
2182,1,1,18/10/2018,18/10/2018,1,1,Thu
2183,1,1,13/11/2019,13/11/2019,1,1,Wed
2184,1,1,29/10/2018,29/10/2018,1,1,Mon
2185,1,1,05/09/2019,05/09/2019,1,1,Thu
2186,1,1,19/12/2019,19/12/2019,1,1,Thu
2187,1,1,10/04/2019,10/04/2019,1,1,Wed
2188,1,1,20/06/2019,20/06/2019,1,1,Thu
2189,1,1,12/06/2018,12/06/2018,1,1,Tue
2190,1,1,06/02/2018,06/02/2018,1,1,Tue
2191,1,1,15/01/2018,15/01/2018,1,1,Mon
2192,1,1,19/02/2018,19/02/2018,1,1,Mon
2193,1,1,23/04/2018,23/04/2018,1,1,Mon
2194,1,1,13/08/2018,13/08/2018,1,1,Mon
2195,1,1,24/12/2018,24/12/2018,1,1,Mon
2196,1,1,10/06/2019,10/06/2019,1,1,Mon
2197,1,1,25/01/2019,25/01/2019,1,1,Fri
2198,1,1,12/04/2019,12/04/2019,1,1,Fri
2199,1,1,07/08/2019,07/08/2019,1,1,Wed
2200,1,1,01/04/2019,01/04/2019,1,1,Mon
2201,1,1,27/07/2018,27/07/2018,1,1,Fri
2202,1,1,15/05/2018,15/05/2018,1,1,Tue
2203,1,1,08/04/2019,08/04/2019,1,1,Mon
2204,1,1,16/11/2018,16/11/2018,1,1,Fri
2205,1,1,25/05/2018,25/05/2018,1,1,Fri
2206,1,1,17/10/2018,17/10/2018,1,1,Wed
2207,1,1,29/10/2018,29/10/2018,1,1,Mon
2208,1,1,31/05/2019,31/05/2019,1,1,Fri
2209,1,1,09/09/2019,09/09/2019,1,1,Mon
2210,1,1,05/11/2018,05/11/2018,1,1,Mon
2211,1,1,18/02/2019,18/02/2019,1,1,Mon
2212,1,1,21/03/2019,21/03/2019,1,1,Thu
2213,1,1,20/07/2019,20/07/2019,1,1,Sat
2214,1,1,11/10/2018,11/10/2018,1,1,Thu
2215,1,1,18/12/2018,18/12/2018,1,1,Tue
2216,1,1,06/12/2018,06/12/2018,1,1,Thu
2217,1,1,16/11/2018,16/11/2018,1,1,Fri
2218,1,1,30/10/2018,30/10/2018,1,1,Tue
2219,1,1,05/03/2018,05/03/2018,1,1,Mon
2220,1,1,11/03/2019,11/03/2019,1,1,Mon
2221,1,1,21/09/2018,21/09/2018,1,1,Fri
2222,1,1,29/04/2019,29/04/2019,1,1,Mon
2223,1,1,09/07/2018,09/07/2018,1,1,Mon
2224,1,1,11/06/2019,11/06/2019,1,1,Tue
2225,1,1,01/05/2018,01/05/2018,1,1,Tue
2226,1,1,31/10/2019,31/10/2019,1,1,Thu
2227,1,1,07/10/2019,07/10/2019,1,1,Mon
2228,1,1,11/10/2019,11/10/2019,1,1,Fri
2229,1,1,05/09/2019,05/09/2019,1,1,Thu
2230,1,1,18/01/2019,18/01/2019,1,1,Fri
2231,1,1,17/08/2018,17/08/2018,1,1,Fri
2232,1,1,14/12/2018,14/12/2018,1,1,Fri
2233,1,1,19/09/2019,19/09/2019,1,1,Thu
2234,1,1,14/06/2018,14/06/2018,1,1,Thu
2235,1,1,08/08/2019,08/08/2019,1,1,Thu
2236,1,1,11/11/2019,11/11/2019,1,1,Mon
2237,1,1,10/09/2018,10/09/2018,1,1,Mon
2238,1,1,15/10/2018,15/10/2018,1,1,Mon
2239,1,1,17/12/2019,17/12/2019,1,1,Tue
2240,1,1,23/02/2018,23/02/2018,1,1,Fri
2241,1,1,25/09/2018,25/09/2018,1,1,Tue
2242,1,1,02/01/2019,02/01/2019,1,1,Wed
2243,1,1,21/10/2019,21/10/2019,1,1,Mon
2244,1,1,24/09/2019,24/09/2019,1,1,Tue
2245,1,1,17/12/2018,17/12/2018,1,1,Mon
2246,1,1,28/03/2019,28/03/2019,1,1,Thu
2247,1,1,15/03/2018,15/03/2018,1,1,Thu
2248,1,1,06/11/2018,06/11/2018,1,1,Tue
2249,1,1,21/06/2018,21/06/2018,1,1,Thu
2250,1,1,31/01/2019,31/01/2019,1,1,Thu
2251,1,1,27/12/2019,27/12/2019,1,1,Fri
2252,1,1,07/02/2019,07/02/2019,1,1,Thu
2253,1,1,17/03/2019,17/03/2019,1,1,Sun
2254,1,1,01/07/2018,01/07/2018,1,1,Sun
2255,1,1,22/07/2019,22/07/2019,1,1,Mon
2256,1,1,04/10/2019,04/10/2019,1,1,Fri
2257,1,1,04/10/2018,04/10/2018,1,1,Thu
2258,1,1,11/12/2018,11/12/2018,1,1,Tue
2259,1,1,21/05/2018,21/05/2018,1,1,Mon
2260,1,1,15/03/2019,15/03/2019,1,1,Fri
2261,1,1,27/08/2019,27/08/2019,1,1,Tue
2262,1,1,24/09/2019,24/09/2019,1,1,Tue
2263,0.5,1,28/02/2019,01/03/2019,2,1,Thu
2264,1,1,29/03/2019,29/03/2019,1,1,Fri
2265,1,1,23/02/2018,23/02/2018,1,1,Fri
2266,1,1,08/04/2019,08/04/2019,1,1,Mon
2267,1,1,07/06/2018,07/06/2018,1,1,Thu
2268,1,1,01/04/2019,01/04/2019,1,1,Mon
2269,1,1,04/01/2018,04/01/2018,1,1,Thu
2270,1,1,04/03/2019,04/03/2019,1,1,Mon
2271,1,1,27/12/2019,27/12/2019,1,1,Fri
2272,1,1,20/08/2018,20/08/2018,1,1,Mon
2273,1,1,10/12/2018,10/12/2018,1,1,Mon
2274,1,1,29/11/2019,29/11/2019,1,1,Fri
2275,1,1,06/12/2018,06/12/2018,1,1,Thu
2276,1,1,07/03/2018,07/03/2018,1,1,Wed
2277,1,1,25/10/2018,25/10/2018,1,1,Thu
2278,1,1,23/01/2019,23/01/2019,1,1,Wed
2279,1,1,08/05/2019,08/05/2019,1,1,Wed
2280,1,1,11/07/2019,11/07/2019,1,1,Thu
2281,1,1,07/06/2018,07/06/2018,1,1,Thu
2282,1,1,21/01/2019,21/01/2019,1,1,Mon
2283,1,1,16/10/2019,16/10/2019,1,1,Wed
2284,1,1,23/12/2019,23/12/2019,1,1,Mon
2285,1,1,08/11/2018,08/11/2018,1,1,Thu
2286,1,1,02/12/2019,02/12/2019,1,1,Mon
2287,1,1,29/11/2019,29/11/2019,1,1,Fri
2288,1,1,29/04/2019,29/04/2019,1,1,Mon
2289,1,1,18/09/2019,18/09/2019,1,1,Wed
2290,1,1,19/08/2019,19/08/2019,1,1,Mon
2291,1,1,10/08/2018,10/08/2018,1,1,Fri
2292,1,1,04/09/2019,04/09/2019,1,1,Wed
2293,1,1,15/10/2018,15/10/2018,1,1,Mon
2294,1,1,08/02/2018,08/02/2018,1,1,Thu
2295,0.5,1,08/05/2019,09/05/2019,2,1,Wed
2296,0.5,1,08/05/2018,09/05/2018,2,1,Tue
2297,1,1,01/11/2019,01/11/2019,1,1,Fri
2298,1,1,17/08/2018,17/08/2018,1,1,Fri
2299,1,1,13/08/2018,13/08/2018,1,1,Mon
2300,1,1,24/12/2018,24/12/2018,1,1,Mon
2301,1,1,28/05/2019,28/05/2019,1,1,Tue
2302,1,1,13/10/2019,13/10/2019,1,1,Sun
2303,0.49333,0.98666,12/02/2018,13/02/2018,2,0.98666,Mon
2304,0.49333,0.98666,27/11/2019,28/11/2019,2,0.98666,Wed
2305,0.48,0.96,14/11/2018,15/11/2018,2,0.96,Wed
2306,0.96,0.96,27/09/2018,27/09/2018,1,0.96,Thu
2307,0.96,0.96,11/09/2019,11/09/2019,1,0.96,Wed
2308,0.48,0.96,31/07/2018,01/08/2018,2,0.96,Tue
2309,0.48,0.96,23/09/2018,24/09/2018,2,0.96,Sun
2310,0.96,0.96,21/02/2019,21/02/2019,1,0.96,Thu
2311,0.48,0.96,26/09/2019,27/09/2019,2,0.96,Thu
2312,0.48,0.96,25/09/2018,26/09/2018,2,0.96,Tue
2313,0.48,0.96,11/12/2019,12/12/2019,2,0.96,Wed
2314,0.48,0.96,05/12/2019,06/12/2019,2,0.96,Thu
2315,0.48,0.96,04/04/2019,05/04/2019,2,0.96,Thu
2316,0.96,0.96,27/11/2018,27/11/2018,1,0.96,Tue
2317,0.96,0.96,18/10/2019,18/10/2019,1,0.96,Fri
2318,0.48,0.96,03/04/2018,04/04/2018,2,0.96,Tue
2319,0.48,0.96,13/11/2018,14/11/2018,2,0.96,Tue
2320,0.48,0.96,23/08/2018,24/08/2018,2,0.96,Thu
2321,0.48,0.96,31/10/2019,01/11/2019,2,0.96,Thu
2322,0.48,0.96,27/03/2019,28/03/2019,2,0.96,Wed
2323,0.96,0.96,18/06/2019,18/06/2019,1,0.96,Tue
2324,0.96,0.96,08/03/2018,08/03/2018,1,0.96,Thu
2325,0.96,0.96,30/04/2019,30/04/2019,1,0.96,Tue
2326,0.96,0.96,15/05/2019,15/05/2019,1,0.96,Wed
2327,0.96,0.96,15/07/2019,15/07/2019,1,0.96,Mon
2328,0.96,0.96,15/03/2019,15/03/2019,1,0.96,Fri
2329,0.96,0.96,10/08/2019,10/08/2019,1,0.96,Sat
2330,0.48,0.96,17/12/2019,18/12/2019,2,0.96,Tue
2331,0.48,0.96,31/01/2019,01/02/2019,2,0.96,Thu
2332,0.93333,0.93333,24/09/2018,24/09/2018,1,0.93333,Mon
2333,0.93333,0.93333,09/12/2019,09/12/2019,1,0.93333,Mon
2334,0.93333,0.93333,23/09/2019,23/09/2019,1,0.93333,Mon
2335,0.93333,0.93333,02/05/2018,02/05/2018,1,0.93333,Wed
2336,0.93333,0.93333,08/08/2019,08/08/2019,1,0.93333,Thu
2337,0.93333,0.93333,17/12/2019,17/12/2019,1,0.93333,Tue
2338,0.93333,0.93333,27/11/2018,27/11/2018,1,0.93333,Tue
2339,0.92,0.92,04/10/2019,04/10/2019,1,0.92,Fri
2340,0.92,0.92,06/08/2019,06/08/2019,1,0.92,Tue
2341,0.92,0.92,24/04/2018,24/04/2018,1,0.92,Tue
2342,0.92,0.92,05/08/2019,05/08/2019,1,0.92,Mon
2343,0.92,0.92,12/11/2018,12/11/2018,1,0.92,Mon
2344,0.92,0.92,18/07/2019,18/07/2019,1,0.92,Thu
2345,0.92,0.92,14/09/2019,14/09/2019,1,0.92,Sat
2346,0.92,0.92,28/01/2019,28/01/2019,1,0.92,Mon
2347,0.92,0.92,16/11/2019,16/11/2019,1,0.92,Sat
2348,0.92,0.92,13/08/2018,13/08/2018,1,0.92,Mon
2349,0.92,0.92,29/07/2019,29/07/2019,1,0.92,Mon
2350,0.92,0.92,23/04/2019,23/04/2019,1,0.92,Tue
2351,0.92,0.92,21/11/2018,21/11/2018,1,0.92,Wed
2352,0.92,0.92,25/06/2018,25/06/2018,1,0.92,Mon
2353,0.92,0.92,14/07/2019,14/07/2019,1,0.92,Sun
2354,0.92,0.92,26/11/2019,26/11/2019,1,0.92,Tue
2355,0.92,0.92,15/01/2019,15/01/2019,1,0.92,Tue
2356,0.92,0.92,14/05/2019,14/05/2019,1,0.92,Tue
2357,0.90667,0.90667,11/07/2018,11/07/2018,1,0.90667,Wed
2358,0.90667,0.90667,21/05/2018,21/05/2018,1,0.90667,Mon
2359,0.90667,0.90667,12/12/2018,12/12/2018,1,0.90667,Wed
2360,0.90667,0.90667,20/11/2019,20/11/2019,1,0.90667,Wed
2361,0.90667,0.90667,22/11/2019,22/11/2019,1,0.90667,Fri
2362,0.45333,0.90666,25/06/2019,26/06/2019,2,0.90666,Tue
2363,0.45333,0.90666,27/08/2019,28/08/2019,2,0.90666,Tue
2364,0.88,0.88,02/05/2018,02/05/2018,1,0.88,Wed
2365,0.88,0.88,30/05/2018,30/05/2018,1,0.88,Wed
2366,0.88,0.88,23/07/2019,23/07/2019,1,0.88,Tue
2367,0.88,0.88,29/11/2019,29/11/2019,1,0.88,Fri
2368,0.44,0.88,03/10/2018,04/10/2018,2,0.88,Wed
2369,0.44,0.88,31/10/2019,01/11/2019,2,0.88,Thu
2370,0.44,0.88,27/03/2019,28/03/2019,2,0.88,Wed
2371,0.29333,0.87999,18/11/2019,20/11/2019,3,0.87999,Mon
2372,0.86293,0.86293,10/12/2019,10/12/2019,1,0.86293,Tue
2373,0.10667,0.85336,13/12/2019,20/12/2019,8,0.85336,Fri
2374,0.42667,0.85334,17/10/2019,18/10/2019,2,0.85334,Thu
2375,0.42667,0.85334,14/11/2019,15/11/2019,2,0.85334,Thu
2376,0.42667,0.85334,12/08/2018,13/08/2018,2,0.85334,Sun
2377,0.42667,0.85334,28/02/2019,01/03/2019,2,0.85334,Thu
2378,0.42667,0.85334,07/04/2019,08/04/2019,2,0.85334,Sun
2379,0.42667,0.85334,01/10/2018,02/10/2018,2,0.85334,Mon
2380,0.42667,0.85334,03/12/2018,04/12/2018,2,0.85334,Mon
2381,0.42667,0.85334,29/08/2019,30/08/2019,2,0.85334,Thu
2382,0.85333,0.85333,15/03/2018,15/03/2018,1,0.85333,Thu
2383,0.85333,0.85333,25/02/2019,25/02/2019,1,0.85333,Mon
2384,0.85333,0.85333,20/04/2018,20/04/2018,1,0.85333,Fri
2385,0.85333,0.85333,09/12/2019,09/12/2019,1,0.85333,Mon
2386,0.85333,0.85333,25/02/2019,25/02/2019,1,0.85333,Mon
2387,0.85333,0.85333,03/06/2019,03/06/2019,1,0.85333,Mon
2388,0.85,0.85,25/07/2018,25/07/2018,1,0.85,Wed
2389,0.84,0.84,25/10/2018,25/10/2018,1,0.84,Thu
2390,0.12,0.84,06/02/2019,12/02/2019,7,0.84,Wed
2391,0.12,0.84,19/11/2019,25/11/2019,7,0.84,Tue
2392,0.8312,0.8312,05/01/2018,05/01/2018,1,0.8312,Fri
2393,0.8312,0.8312,29/04/2019,29/04/2019,1,0.8312,Mon
2394,0.8312,0.8312,04/12/2019,04/12/2019,1,0.8312,Wed
2395,0.82667,0.82667,06/09/2018,06/09/2018,1,0.82667,Thu
2396,0.82667,0.82667,15/04/2019,15/04/2019,1,0.82667,Mon
2397,0.82667,0.82667,02/01/2018,02/01/2018,1,0.82667,Tue
2398,0.41333,0.82666,16/12/2019,17/12/2019,2,0.82666,Mon
2399,0.41333,0.82666,23/12/2019,24/12/2019,2,0.82666,Mon
2400,0.41333,0.82666,25/02/2019,26/02/2019,2,0.82666,Mon
2401,0.41333,0.82666,30/09/2019,01/10/2019,2,0.82666,Mon
2402,0.26667,0.80001,16/01/2018,18/01/2018,3,0.80001,Tue
2403,0.4,0.8,21/10/2019,22/10/2019,2,0.8,Mon
2404,0.8,0.8,20/06/2019,20/06/2019,1,0.8,Thu
2405,0.8,0.8,22/06/2018,22/06/2018,1,0.8,Fri
2406,0.8,0.8,04/03/2019,04/03/2019,1,0.8,Mon
2407,0.8,0.8,08/01/2019,08/01/2019,1,0.8,Tue
2408,0.8,0.8,23/12/2019,23/12/2019,1,0.8,Mon
2409,0.8,0.8,09/08/2019,09/08/2019,1,0.8,Fri
2410,0.8,0.8,04/01/2019,04/01/2019,1,0.8,Fri
2411,0.8,0.8,18/01/2018,18/01/2018,1,0.8,Thu
2412,0.8,0.8,16/04/2018,16/04/2018,1,0.8,Mon
2413,0.4,0.8,18/07/2019,19/07/2019,2,0.8,Thu
2414,0.8,0.8,12/11/2019,12/11/2019,1,0.8,Tue
2415,0.4,0.8,03/07/2018,04/07/2018,2,0.8,Tue
2416,0.4,0.8,28/02/2019,01/03/2019,2,0.8,Thu
2417,0.4,0.8,23/05/2019,24/05/2019,2,0.8,Thu
2418,0.8,0.8,23/08/2018,23/08/2018,1,0.8,Thu
2419,0.4,0.8,01/02/2018,02/02/2018,2,0.8,Thu
2420,0.4,0.8,26/02/2019,27/02/2019,2,0.8,Tue
2421,0.8,0.8,19/06/2018,19/06/2018,1,0.8,Tue
2422,0.8,0.8,30/01/2019,30/01/2019,1,0.8,Wed
2423,0.8,0.8,30/09/2019,30/09/2019,1,0.8,Mon
2424,0.8,0.8,11/10/2018,11/10/2018,1,0.8,Thu
2425,0.4,0.8,16/01/2019,17/01/2019,2,0.8,Wed
2426,0.4,0.8,10/10/2018,11/10/2018,2,0.8,Wed
2427,0.4,0.8,24/10/2019,25/10/2019,2,0.8,Thu
2428,0.8,0.8,27/09/2018,27/09/2018,1,0.8,Thu
2429,0.8,0.8,29/10/2018,29/10/2018,1,0.8,Mon
2430,0.8,0.8,23/07/2019,23/07/2019,1,0.8,Tue
2431,0.8,0.8,10/10/2019,10/10/2019,1,0.8,Thu
2432,0.8,0.8,14/12/2018,14/12/2018,1,0.8,Fri
2433,0.8,0.8,10/12/2018,10/12/2018,1,0.8,Mon
2434,0.8,0.8,29/05/2019,29/05/2019,1,0.8,Wed
2435,0.2,0.8,28/12/2018,31/12/2018,4,0.8,Fri
2436,0.8,0.8,19/10/2019,19/10/2019,1,0.8,Sat
2437,0.8,0.8,05/07/2019,05/07/2019,1,0.8,Fri
2438,0.8,0.8,30/08/2019,30/08/2019,1,0.8,Fri
2439,0.8,0.8,10/04/2019,10/04/2019,1,0.8,Wed
2440,0.8,0.8,01/04/2019,01/04/2019,1,0.8,Mon
2441,0.8,0.8,02/12/2019,02/12/2019,1,0.8,Mon
2442,0.8,0.8,13/02/2019,13/02/2019,1,0.8,Wed
2443,0.8,0.8,03/04/2019,03/04/2019,1,0.8,Wed
2444,0.8,0.8,22/07/2019,22/07/2019,1,0.8,Mon
2445,0.8,0.8,05/11/2018,05/11/2018,1,0.8,Mon
2446,0.4,0.8,10/01/2019,11/01/2019,2,0.8,Thu
2447,0.4,0.8,09/10/2019,10/10/2019,2,0.8,Wed
2448,0.4,0.8,24/02/2019,25/02/2019,2,0.8,Sun
2449,0.4,0.8,10/12/2018,11/12/2018,2,0.8,Mon
2450,0.4,0.8,07/05/2019,08/05/2019,2,0.8,Tue
2451,0.4,0.8,27/08/2018,28/08/2018,2,0.8,Mon
2452,0.4,0.8,29/06/2019,30/06/2019,2,0.8,Sat
2453,0.4,0.8,18/02/2018,19/02/2018,2,0.8,Sun
2454,0.4,0.8,13/09/2018,14/09/2018,2,0.8,Thu
2455,0.4,0.8,28/11/2019,29/11/2019,2,0.8,Thu
2456,0.4,0.8,21/01/2019,22/01/2019,2,0.8,Mon
2457,0.8,0.8,23/11/2018,23/11/2018,1,0.8,Fri
2458,0.8,0.8,29/08/2018,29/08/2018,1,0.8,Wed
2459,0.8,0.8,03/12/2019,10/12/2019,1,6.4,Tue
2460,0.8,0.8,08/11/2018,08/11/2018,1,0.8,Thu
2461,0.8,0.8,24/10/2019,24/10/2019,1,0.8,Thu
2462,0.8,0.8,04/06/2019,04/06/2019,1,0.8,Tue
2463,0.8,0.8,03/06/2019,03/06/2019,1,0.8,Mon
2464,0.8,0.8,08/10/2018,08/10/2018,1,0.8,Mon
2465,0.8,0.8,13/05/2019,13/05/2019,1,0.8,Mon
2466,0.4,0.8,04/05/2018,05/05/2018,2,0.8,Fri
