,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
1805,0.8,1.6,21/10/2019,22/10/2019,2,1.6,Mon
1806,0.8,1.6,11/10/2018,12/10/2018,2,1.6,Thu
1807,0.8,1.6,26/09/2019,27/09/2019,2,1.6,Thu
1808,0.8,1.6,30/07/2019,31/07/2019,2,1.6,Tue
1809,0.8,1.6,10/12/2019,11/12/2019,2,1.6,Tue
1810,0.8,1.6,11/06/2018,12/06/2018,2,1.6,Mon
1811,0.8,1.6,16/10/2019,17/10/2019,2,1.6,Wed
1812,0.8,1.6,15/08/2018,16/08/2018,2,1.6,Wed
1813,0.8,1.6,15/10/2018,16/10/2018,2,1.6,Mon
1814,0.8,1.6,13/03/2019,14/03/2019,2,1.6,Wed
1815,0.8,1.6,16/01/2018,17/01/2018,2,1.6,Tue
1816,0.8,1.6,08/05/2018,09/05/2018,2,1.6,Tue
1817,0.4,1.6,03/04/2018,06/04/2018,4,1.6,Tue
1818,0.8,1.6,03/01/2019,04/01/2019,2,1.6,Thu
1819,0.8,1.6,29/10/2018,30/10/2018,2,1.6,Mon
1820,0.8,1.6,01/10/2019,02/10/2019,2,1.6,Tue
1821,0.8,1.6,05/09/2018,06/09/2018,2,1.6,Wed
1822,0.8,1.6,22/10/2018,23/10/2018,2,1.6,Mon
1823,0.8,1.6,04/06/2018,05/06/2018,2,1.6,Mon
1824,0.8,1.6,05/09/2018,06/09/2018,2,1.6,Wed
1825,0.8,1.6,19/03/2019,20/03/2019,2,1.6,Tue
1826,0.8,1.6,26/06/2018,27/06/2018,2,1.6,Tue
1827,0.53333,1.59999,26/11/2019,28/11/2019,3,1.59999,Tue
1828,0.53333,1.59999,14/08/2019,16/08/2019,3,1.59999,Wed
1829,0.53333,1.59999,06/11/2019,08/11/2019,3,1.59999,Wed
1830,0.53333,1.59999,16/01/2018,18/01/2018,3,1.59999,Tue
1831,0.53333,1.59999,15/02/2019,17/02/2019,3,1.59999,Fri
1832,0.53333,1.59999,14/10/2019,16/10/2019,3,1.59999,Mon
1833,0.51947,1.55841,06/11/2018,08/11/2018,3,1.55841,Tue
1834,0.38667,1.54668,30/01/2018,02/02/2018,4,1.54668,Tue
1835,0.51307,1.53921,10/06/2019,12/06/2019,3,1.53921,Mon
1836,0.50667,1.52001,04/07/2018,06/07/2018,3,1.52001,Wed
1837,0.76,1.52,18/01/2018,19/01/2018,2,1.52,Thu
1838,0.76,1.52,13/03/2018,14/03/2018,2,1.52,Tue
1839,0.76,1.52,05/02/2019,06/02/2019,2,1.52,Tue
1840,0.5,1.5,09/07/2018,11/07/2018,3,1.5,Mon
1841,0.5,1.5,01/04/2019,03/04/2019,3,1.5,Mon
1842,0.5,1.5,18/06/2018,20/06/2018,3,1.5,Mon
1843,0.5,1.5,30/07/2019,01/08/2019,3,1.5,Tue
1844,0.5,1.5,09/04/2019,11/04/2019,3,1.5,Tue
1845,0.5,1.5,22/10/2019,24/10/2019,3,1.5,Tue
1846,0.5,1.5,08/08/2018,10/08/2018,3,1.5,Wed
